Location,Date,Do,URL
"Berlin, Germany",15 July 2014,"See csv,conf,v1 talks",/2014/
"Berlin, Germany",3-4 May 2016,"See csv,conv,v2 talks",/2016/
"Portland, Oregon",2-3 May 2017,Save the Date!, 
