Time,Speakers,Session
<b>WEDNESDAY -   MAY 13 - DAY 1</b>,,
6.45am PST · 9.45am EST · 1.45pm UTC · 2.45pm BST · 4.45pm EEST,,Welcome/intro
7am PST · 10am EST · 2pm UTC · 3pm BST · 5pm EEST,,KEYNOTE 
<b>Session 1</b>,,
8am PST · 11am EST · 3pm UTC · 4pm BST · 6pm EEST,Katherine Simeon,Learner-centered teaching for the non-traditional data science classroom
8.20am PST · 11.20am EST · 3.20pm UTC · 4.20pm BST · 6.20pm EEST,Mateusz Kuzak,Growing and Supporting Open and Inclusive Research Software Culture
8.40am PST · 11.40am EST · 3.40pm UTC · 4.40pm BST · 6.40pm EEST,Angela Li,Data Communities and Those Who Build Them
<b>Session 2</b>,,
9am PST · 12noon EST · 4pm UTC · 5pm BST · 7pm EEST,Rebecca Williams and Hunter Owens,"The good, the bad, the extremely obtuse: a survey of government (open) data regulations and how to successfully build accountability programs in government"
9.20am PST · 12.20noon EST · 4.20pm UTC · 5.20pm BST · 7.20pm EEST,Samuel Brice,Demystifying Clearview: Vehicle Tracking with Public CCTV Cameras
9.40am PST · 12.40noon EST · 4.40pm UTC · 5.40pm BST · 7.40pm EEST,Serena Peruzzo,Improving law interpretability using NLP
10am PST · 1pm EST · 5pm UTC · 6pm BST · 8pm EEST,,KEYNOTE <br> Sisi Wei
11am PST · 2pm EST · 6pm UTC · 7pm BST · 9pm EEST,,Llama brunch/lunch/munch
<b>Session 3</b> <br><i>Session 3 and 4 happening at the same time</i>,,
12noon PST · 3pm EST · 7pm UTC · 8pm BST · 10pm EEST,Christina Gosnell and Pablo Virgo,Getting climate advocates the data they need
12.20pm PST · 3.20pm EST · 7.20pm UTC · 8.20pm BST · 10.20pm EEST,Hao Ye,Accessibility and reproducibility in ecological time series analysis
12.40pm PST · 3.40pm EST · 7.40pm UTC · 8.40pm BST · 10.40pm EEST,John Muyskens,Data Journalism in the Anthropocene
<b>Session 4</b> <br><i>Session 3 and 4 happening at the same time</i>,,
12noon PST · 3pm EST · 7pm UTC · 8pm BST · 10pm EEST,Wendy Wong,On using AutoML to predict clinical outcomes
12.20pm PST · 3.20pm EST · 7.20pm UTC · 8.20pm BST · 10.20pm EEST,Gabriele S Hayden,The cultural meaning of programming languages
12.40pm PST · 3.40pm EST · 7.40pm UTC · 8.40pm BST · 10.40pm EEST,,Spare Slot (Hallway Track in csvconf Slack)
<b>Session 5</b>,,
1pm PST · 4pm EST · 8pm UTC · 9pm BST · 11pm EEST,Lisa Federer,Data and Code for Reproducible Research
1.20pm PST · 4.20pm EST · 8.20pm UTC · 9.20pm BST · 11.20pm EEST,Salina Cheuk Ting Ho,Decision making in 'successful' data analysis
1.40pm PST · 4.40pm EST · 8.40pm UTC · 9.40pm BST · 11.40pm EEST,Bradly Alicea,Epistomological Directories for Research Development and Education
2pm PST · 5pm EST · 9pm UTC · 10pm BST · 12am EEST,,END OF DAY 1
<b>THURSDAY - 14 MAY - DAY 2</b>,,
<b>Session 6</b>,,
7am PST · 10am EST · 2pm UTC · 3pm BST · 5pm EEST,David Selassie Opoku,Low-Income Data Diaries - How “Low-Tech” Data Experiences Can Inspire Accessible Data Skills & Tool Design 
7.20am PST · 10.20am EST · 2.20pm UTC · 3.20pm BST · 5.20pm EEST,Emmy Tsang and Daniel Ecer,PeerScout: Diversifying peer review with data and machine learning
7.40am PST · 10.40am EST · 2.40pm UTC · 3.40pm BST · 5.40pm EEST,Christa Hasenkopf,Fighting air inequality by building a global air quality open data ecosystem
<b>Session 7</b>,,
8am PST · 11am EST · 3pm UTC · 4pm BST · 6pm EEST,Vicky Steeves and Sarah Nguyen,commit- ment issues with Git: investigating & archiving y’alls work
8.20am PST · 11.20am EST · 3.20pm UTC · 4.20pm BST · 6.20pm EEST,Lucille Moore,Open science in infant neuroimaging research
8.40am PST · 11.40am EST · 3.40pm UTC · 4.40pm BST · 6.40pm EEST,Emily Riederer,RMarkdown Driven Development
<b>Session 8</b>,,
9am PST · 12noon EST · 4pm UTC · 5pm BST · 7pm EEST,Rudo Kemper,Mapping and safeguarding indigenous oral histories using an open source tool
9.20am PST · 12.20noon EST · 4.20pm UTC · 5.20pm BST · 7.20pm EEST,Daniel Bernstein,Getting to CSV: Unlocking Public Data in the Civil Justice Space
9.40am PST · 12.40noon EST · 4.40pm UTC · 5.40pm BST · 7.40pm EEST,Lai Yi Ohlsen,Measurement Lab - Open Internet Data
10am PST · 1pm EST · 5pm UTC · 6pm BST · 8pm EEST,,KEYNOTE <br> Emily Jacobi
11am PST · 2pm EST · 6pm UTC · 7pm BST · 9pm EEST,,Llama brunch/lunch/munch
<b>Session 9</b> <br><i>Session 9 and 10 happening at the same time</i>,,
12noon PST · 3pm EST · 7pm UTC · 8pm BST · 10pm EEST,Soila Kenya,Error 404: Data Archival from a journalist's perspective
12.20pm PST · 3.20pm EST · 7.20pm UTC · 8.20pm BST · 10.20pm EEST,Monica Granados and Lily Zhao ,How Frictionless Data can help you grease your data
