Time,Speakers,Session
12.40pm PST · 3.40pm EST · 7.40pm UTC · 8.40pm BST · 10.40pm EEST,Amanda Ludden,"Around the world in 80 data formats: Re-packaging the Harvard Business Review archive as an accessible, internal database"
<b>Session 10</b> <br><i>Session 9 and 10 happening at the same time</i>,,
12noon PST · 3pm EST · 7pm UTC · 8pm BST · 10pm EEST,andres Snitcofsky,How simple spreadsheets helped us spread gender perspective in Argentine politics
12.20pm PST · 3.20pm EST · 7.20pm UTC · 8.20pm BST · 10.20pm EEST,Erica Hagen,Open Mapping and Government Projects in Kenya: Map Kibera and the state of citizen data 
12.40pm PST · 3.40pm EST · 7.40pm UTC · 8.40pm BST · 10.40pm EEST,Kathleen Sullivan  and Andrew Mckenna-Foster,The Complicated Problem of Closing Open Data
<b>Session 11</b>,,
1pm PST · 4pm EST · 8pm UTC · 9pm BST · 11pm EEST,James Perry Evans,Protected health information breaches on GitHub
1.20pm PST · 4.20pm EST · 8.20pm UTC · 9.20pm BST · 11.20pm EEST,Melissa Santos,Time-to-Event Analysis for Non-Medical Applications
1.40pm PST · 4.40pm EST · 8.40pm UTC · 9.40pm BST · 11.40pm EEST,"Tempest van Schaik, PhD",Building successful collaborations around healthcare data
2pm PST · 5pm EST · 9pm UTC · 10pm BST · 12am EEST,,Outro/Close

