Time,Room A,Room B,Room C,Room A speakers,Room B speakers,Room C speakers,Room D Activity,Room A Es,Room B Es,Room C Es
WEDNESDAY / MIÉRCOLES - April / Abril 19 - Day / Día 1,,,,,,,,,,
,Room A,Room B,Room C,,,,,,,
8:00 am,Breakfast / Desayuno,,,,,,,,,
9:00 am,Intro / Hola,,,,,,,,,
9:25 am,Virus discovery at a global scale: a sustainable blueprint based on secondary analyses of open sequencing data,Opening up African Data,Agile Data Visualization with Dashbuilder,Humberto Debat,Emma Laura Kisa,William Antônio Siqueira,Data Tables,Descubrimiento de virus a escala mundial: un plan sostenible basado en análisis secundarios de datos de secuenciación abiertos,Abrir los datos africanos,Visualización rápida de datos con DashBuilder
9:50 am,#Menstruacción: How much does it cost to menstruate?,Baking bread on Sundays makes me happy,Frictionless Application (IDE for CSV),Laia Domenech Burin,Juan De Dios Santos,Evgeny Karev,Data Tables,#Menstruacción: ¿Cuánto cuesta menstruar?,Hornear pan los domingos me hace feliz,Aplicación sin fricciones (IDE para CSV)
10:15 am,Building Digital Democracy Solutions in Kenya through Data,From garbage data to data on garbage,​​Investigating police misconduct and migratory patterns,Tricia Govindasamy,Daniel Carranza,Rajiv Sinclair,Data Tables,Construir soluciones de democracia digital en Kenia a través de los datos,De datos basura a datos sobre basura,Investigación de la mala conducta policial y las pautas migratorias
10:40 am,Break / Descanso,,,,,,,,,
11:20 am,KEYNOTE - Collective Creation of Open Science - Laura Acion, KEYNOTE,KEYNOTE,Laura Acion,,,,Oradora principal - Creación Colectiva de Ciencia Abierta - Laura Acion,Oradora principal,Oradora principal
12:10 pm,Lunch / Almuerzo,,,,,,,,,
1:10 pm,KEYNOTE - How To Cultivate A Sustainable Open-Source Ecosystem (OSE) - Karthik Ram,KEYNOTE,KEYNOTE,Karthik Ram,,,,Orador principal - Cómo cultivar un ecosistema de código abierto (OSE) sostenible - Karthik Ram,Orador principal,Orador principal
2:00 PM,Break / Descanso,,,,,,,,,
2:30 PM,Data Management on the Front Lines: Managing Administrative Data at the Source,Covid Deaths: What Happens When News is Transformed into Data,"Nothing about us, without us: Participatory approaches to make data by the people for the people",Kelsey Badger,Polash Datta,Bastian Greshake Tzovaras,Data Tables,Gestión de datos en primera línea: Gestión de datos administrativos en origen,Muertes en Covid: Lo que ocurre cuando las noticias se transforman en datos,"Nada sobre nosotros, sin nosotros: Enfoques participativos para crear datos por el pueblo y para el pueblo"
2:55 PM,Using Verbal Autopsy data to predict out-of-hospital causes of death,Miller: a swiss-army chainsaw for CSV and more,"csv,conf Community Building with The Carpentries Toolkit of IDEAS",Mahadia Tunga,John Kerl,"Kari L. Jordan, PhD",Data Tables,Utilización de los datos de la autopsia verbal para predecir las causas de muerte extrahospitalaria,Miller: una motosierra de ejército suizo para sus datos CSV y más,"csv,conf Construcción de comunidad con The Carpentries Toolkit of IDEAS"
3:20 PM,Land use trajectories as text data,Towards a Community-Based Responsible Use of Health Data in Argentina and beyond,Data Is Power: How Unpaid labor & Stolen Data Train Amazon’s Technology & How Workers Can Take Their Power & Their Money Back.,Germán Rosati,Sabrina Laura López,Adrienne Williams,Data Tables,Trayectorias de uso del suelo como datos de texto,Hacia una comunidad sobre uso responsable de datos de salud en Argentina y más allá.,Los datos son poder: cómo el trabajo no remunerado y los datos robados entrenan la tecnología de Amazon y cómo los trabajadores pueden recuperar su poder y su dinero.
3:45 PM,Break / Descanso,,,,,,,,,
4:10 PM,Pending,"A map manager that promotes open standards and technological sovereignty for research in Mexico
",Pending,Pending,Yosune Chamizo Alberro,Pending,Data Tables,,Gestor de mapas que promueve estándares abiertos y soberanía tecnológica para la investigación en México,
4:35 PM,Identifying DDoS attacks on IoT devices using deep learning,What are you? Automating journal subject classification,Running a Covid-19 nonprofit as a data maker,Deborah Mesquita,Esha Datta,Anand Chowdhary,Data Tables,Los conjuntos de datos tienen visiones del mundo: Comprender la clasificación de sus datos,¿Qué es usted? Automatización de la clasificación temática de revistas,Dirigir una organización sin ánimo de lucro Covid-19 como creador de datos
5:00 PM,RECEPCIÓN patrocinada por Code for Science & Society,,,,,,,,,
THURSDAY / JUEVES - April 20 - Day 2,,,,,,,,,,
8:00 am,Breakfast / Hangout time,,,,,,,,,
9:00 am,Datasets Have Worldviews: Understanding Classification In Your Data,Open research needs open (meta)data,Querido Diário': how an open source project is freeing official municipal records for 45 million people in Brasil (and counting!),Dylan Baker,Gabriela Mejias,Fernanda Campagnucci,Data Tables,Los conjuntos de datos tienen visiones del mundo: Comprender la clasificación de sus datos,La investigación abierta necesita (meta)datos abiertos,Querido Diário': cómo un proyecto de código abierto está liberando registros municipales oficiales para 45 millones de personas en Brasil (¡y contando!)
9:25 am,The role of data in addressing environmental and climate injustice,How to find clues for your research in hundreds of datasets using Aleph,UK government: Building better data for a better future,Katie Hoeberling,Romina Colman+,Darren Barnes,Data Tables,,Cómo encontrar pistas para tus investigaciones en cientos de datasets usando Aleph,Gobierno británico: Mejores datos para un futuro mejor
9:50 am,Constructing a Visual Dataset to Study the Effects of Spatial Apartheid in South Africa,Lessons from the history of literacy,Solving Childhood Dementia: When data isn't enough ,Raesetje Sefala,Salina Cheuk Ting Ho,Sarah Catherine Baker ,Data Tables,Construcción de un conjunto de datos visuales para estudiar los efectos del apartheid espacial en Sudáfrica,Lecciones de la historia de la alfabetización,Resolver la demencia infantil: Cuando los datos no bastan
10:15 am,A community driven initiative to crowdsource background details of 1700 High Court Judges in India,OpenAQ: Wrangling the world's air quality data,The Jigsaw Puzzle of Cellular Identity,Apoorv Anand,Russ Biggs,Kevin MacPherson,Data Tables,Una iniciativa comunitaria para recabar información sobre los antecedentes de 1.700 jueces de tribunales superiores de la India.,OpenAQ: la gestión de los datos mundiales sobre calidad del aire,El rompecabezas de la identidad celular
10:40 am,Break / Descanso,,,,,,,,,
11:20 am,KEYNOTE - Talking with data – stories and lessons from my data adventures,KEYNOTE,KEYNOTE,Giuseppe Sollazzo,,,,Orador principal - Hablar con los datos: historias y lecciones de mis aventuras con los datos - Giuseppe Sollazzo,Orador principal,Orador principal
12:10 pm,Lunch / Almuerzo,,,,,,,,,
1:10 pm,KEYNOTE - Alex Hanna,KEYNOTE,KEYNOTE,,,,,Oradora principal - Cambiando el marco: Los trabajos de ImageNet y los datos de IA - Alex Hanna,Orador principal,Orador principal
2:00 PM,Break / Descanso,,,,,,,,,
2:30 PM,Defining the The Turing Ways,Communities of practice in Latin America and their influence on the dissemination of open science,Organize your data analysis; use a project template,Malvika Sharan,Jesica Formoso+,Fernanda Aguirre Ruiz,Data Tables,Co-creando The Turing Way con la comunidad global,Comunidades de práctica en Latinoamérica y su influencia en la difusión de la ciencia abierta,Organiza tu análisis de datos; utiliza una plantilla de proyecto.
2:55 PM,Speed Bumps on the Road to Innovating with Government Open Data ,Demonstrate to users and funding sources the public value of the Agrobiodiversity Information System in Mexico.,Resources and challenges for building global equitable open science communities,Cathi Greenwood+,Irene Ramos Pérez,Paz Bernaldo,Data Tables,Obstáculos en el camino hacia la innovación con datos públicos abiertos,Demostrar a personas usuarias y fuentes de financiamiento el valor público del Sistema de Información de Agrobiodiversidad en México,"Recursos y retos para crear comunidades científicas abiertas, equitativas y globales"
3:20 PM,Opening up the data and processes of public tourism statistics in Argentina,Bias auditing for all: moving into the territory,Tell me who you hang out with and I'll tell you who you are: a collaborative analysis using social network analysis.,Juan Pablo Ruiz Nicolini,Laura Alonso Alemany,Sandro Camargo+,Data Tables,Abrir los datos y procesos de las estadísticas públicas de turismo en Argentina,Auditoría de sesgos para todos: avanzando en el territorio,Dime con quién andas y te diré quién eres: un análisis colaborativo mediante el análisis de redes sociales.
3:45 PM,Procurement data: where to find it and how to use it,Collecting data on gender-based violence in Latin American judiciaries,Using data to better understand and improve urban mobility,Félix Pedro Penna,Ivana Feldfeber+,Sebastián Anapolsky,Data Tables,Datos de contrataciones públicas: dónde encontrarlos y cómo utilizarlos,Recolectando datos sobre violencias de género en los poderes judiciales latinoamericanos,Uso de datos para comprender y mejorar la movilidad urbana
4:10 PM,CLOSING - Goodbye / Adios,,,,,,,,,
