Time,Speakers,Session
9.20am PST · 12.20noon EST · 4.20pm UTC · 5.20pm BST · 7.20pm EEST,Kelsey Montgomery,Save your sanity with Synapse
9.40am PST · 12.40noon EST · 4.40pm UTC · 5.40pm BST · 7.40pm EEST,Katy Sill,The Water Point Data Exchange - using Open Data for Universal Water Access
<b>Keynote</b> <br>Join Session: <a href='https://www.crowdcast.io/e/csvcomfv6-keynote-kadija'>crowdcast.io/e/csvcomfv6-keynote-kadija</a>,,
10am PST · 1pm EST · 5pm UTC · 6pm BST · 8pm EEST,Kadija Ferryman,Race Matters in Health Data
<b>Birds of a Feather</b> <br>Join Session: TBA,,
11am PST · 2pm EST · 6pm UTC · 7pm BST · 9pm EEST,,
<b>Llama Brunch / Lunch </b> <br>Join Session: TBA,,
11.30am PST · 2.30pm EST · 6.30pm UTC · 7.30pm BST · 9.30pm EEST,,
<b>Session 9</b> <br>Join Session: <a href='https://www.crowdcast.io/e/csvconf6-0-session-9'>crowdcast.io/e/csvconf6-0-session-9</a>,,
12noon PST · 3pm EST · 7pm UTC · 8pm BST · 10pm EEST,Bernease Herman,Static datasets aren't enough: where deployed systems differ from research
12.20pm PST · 3.20pm EST · 7.20pm UTC · 8.20pm BST · 10.20pm EEST,John Borghi,"Identifying the who, what, and (sometimes) where of research data sharing at an academic institution"
12.40pm PST · 3.40pm EST · 7.40pm UTC · 8.40pm BST · 10.40pm EEST,William Lyon,Will You Be My Graph Data-bae? A Graph Data Love Story
<b>Session 10</b> <br>Join Session: <a href='https://www.crowdcast.io/e/csvconf6-0-session-10'>crowdcast.io/e/csvconf6-0-session-10</a>,,
1pm PST · 4pm EST · 8pm UTC · 9pm BST · 11pm EEST,Zane Selvans,Distributing Power with Open Data
1.20pm PST · 4.20pm EST · 8.20pm UTC · 9.20pm BST · 11.20pm EEST,Kelsey Breseman,Environmental Enforcement Watch: Environmental Data Justice through Participatory Data Science
1.40pm PST · 4.40pm EST · 8.40pm UTC · 9.40pm BST · 11.40pm EEST,Jason A. Clark,Algorithms as Data: A Case Study for Turning Algorithmic User Experiences into Research Data Objects
<b>Closing Session</b><br>Join Session: <a href='https://www.crowdcast.io/e/csvconfv6-close'>crowdcast.io/e/csvconfv6-close</a>,,
2pm PST · 5pm EST · 9pm UTC · 10pm BST · 12am EEST,,OUTRO / END OF CONFERENCE
